"Reversed left context";"Reversed center";"Left context";"Center";"Punct";"Right context";"Title";"Author";"Birthday";"Header";"Created";"Sphere";"Type";"Topic";"Publication";"Publ_year";"Medium";"Ambiguity";"Full context"
" уморокс оп ишвунсаз ,едГ ,увозикрам улкрез";"увозыв";"зерклу маркизову, Где, заснувши по скорому ";"вызову";", ";"Хорошо умереть молодым? ";"О. А. Юрьев. «Кволых лип шевеленые волосы...» | Комарово, лето 1977 (2013-2014)";"О. А. Юрьев";"1959";"«Кволых лип шевеленые волосы...» | Комарово, лето 1977";"2013-2014";"художественная";"";"";"";"";"";"омонимия не снята";"донных лип, Расшевеленных вздохами донных ив, Сотрясаемых охами красных сосен, Летящих, как дым, По вечернему зерклу маркизову, Где, заснувши по скорому вызову, Хорошо умереть молодым? "
" ьтерему ошороХ ,увозыв уморокс оп ишвунсаз";"мыдолом";"заснувши по скорому вызову, Хорошо умереть ";"молодым";"? ";"";"О. А. Юрьев. «Кволых лип шевеленые волосы...» | Комарово, лето 1977 (2013-2014)";"О. А. Юрьев";"1959";"«Кволых лип шевеленые волосы...» | Комарово, лето 1977";"2013-2014";"художественная";"";"";"";"";"";"омонимия не снята";"донных лип, Расшевеленных вздохами донных ив, Сотрясаемых охами красных сосен, Летящих, как дым, По вечернему зерклу маркизову, Где, заснувши по скорому вызову, Хорошо умереть молодым? "
" едорирп адгоК";"милытсопо";"Когда природе ";"опостылим";" ";"И станем пыль, и станем тлен";"О. А. Юрьев. «Когда природе опостылим...» (2013-2014)";"О. А. Юрьев";"1959";"«Когда природе опостылим...»";"2013-2014";"художественная";"";"";"";"";"";"омонимия не снята";"Когда природе опостылим И станем пыль, и станем тлен, Взойдем, как Жилин и Костылин, К чечену ласковому в плен. Кавказ, России остров адский С чертями в пыльных газырях… ― Крест офицерский, крест солдатский И мизер в пятых козырях. "
" менатс и ,ьлып менатс И милытсопо";"нелт";"опостылим И станем пыль, и станем ";"тлен";", ";"Взойдем, как Жилин и Костылин, К";"О. А. Юрьев. «Когда природе опостылим...» (2013-2014)";"О. А. Юрьев";"1959";"«Когда природе опостылим...»";"2013-2014";"художественная";"";"";"";"";"";"омонимия не снята";"Когда природе опостылим И станем пыль, и станем тлен, Взойдем, как Жилин и Костылин, К чечену ласковому в плен. Кавказ, России остров адский С чертями в пыльных газырях… ― Крест офицерский, крест солдатский И мизер в пятых козырях. "
" и нилиЖ как ,медйозВ ,нелт менатс";"нилытсоК";"станем тлен, Взойдем, как Жилин и ";"Костылин";", ";"К чечену ласковому в плен. ";"О. А. Юрьев. «Когда природе опостылим...» (2013-2014)";"О. А. Юрьев";"1959";"«Когда природе опостылим...»";"2013-2014";"художественная";"";"";"";"";"";"омонимия не снята";"Когда природе опостылим И станем пыль, и станем тлен, Взойдем, как Жилин и Костылин, К чечену ласковому в плен. Кавказ, России остров адский С чертями в пыльных газырях… ― Крест офицерский, крест солдатский И мизер в пятых козырях. "
" в умовоксал унечеч К ,нилытсоК и";"нелп";"и Костылин, К чечену ласковому в ";"плен";". ";"";"О. А. Юрьев. «Когда природе опостылим...» (2013-2014)";"О. А. Юрьев";"1959";"«Когда природе опостылим...»";"2013-2014";"художественная";"";"";"";"";"";"омонимия не снята";"Когда природе опостылим И станем пыль, и станем тлен, Взойдем, как Жилин и Костылин, К чечену ласковому в плен. Кавказ, России остров адский С чертями в пыльных газырях… ― Крест офицерский, крест солдатский И мизер в пятых козырях. "
" вортсо ииссоР ,закваК";"йиксда";"Кавказ, России остров ";"адский";" ";"С чертями в пыльных газырях… ― Крест";"О. А. Юрьев. «Когда природе опостылим...» (2013-2014)";"О. А. Юрьев";"1959";"«Когда природе опостылим...»";"2013-2014";"художественная";"";"";"";"";"";"омонимия не снята";"Когда природе опостылим И станем пыль, и станем тлен, Взойдем, как Жилин и Костылин, К чечену ласковому в плен. Кавказ, России остров адский С чертями в пыльных газырях… ― Крест офицерский, крест солдатский И мизер в пятых козырях. "
" хыньлып в имятреч С йиксда вортсо";"хярызаг";"остров адский С чертями в пыльных ";"газырях";"… ― ";"Крест офицерский, крест солдатский И мизер";"О. А. Юрьев. «Когда природе опостылим...» (2013-2014)";"О. А. Юрьев";"1959";"«Когда природе опостылим...»";"2013-2014";"художественная";"";"";"";"";"";"омонимия не снята";"Когда природе опостылим И станем пыль, и станем тлен, Взойдем, как Жилин и Костылин, К чечену ласковому в плен. Кавказ, России остров адский С чертями в пыльных газырях… ― Крест офицерский, крест солдатский И мизер в пятых козырях. "
" тсерк ,йиксрецифо тсерК ― …хярызаг хыньлып в";"йикстадлос";"в пыльных газырях… ― Крест офицерский, крест ";"солдатский";" ";"И мизер в пятых козырях. ";"О. А. Юрьев. «Когда природе опостылим...» (2013-2014)";"О. А. Юрьев";"1959";"«Когда природе опостылим...»";"2013-2014";"художественная";"";"";"";"";"";"омонимия не снята";"Когда природе опостылим И станем пыль, и станем тлен, Взойдем, как Жилин и Костылин, К чечену ласковому в плен. Кавказ, России остров адский С чертями в пыльных газырях… ― Крест офицерский, крест солдатский И мизер в пятых козырях. "
" хытяп в резим И йикстадлос тсерк";"хярызок";"крест солдатский И мизер в пятых ";"козырях";". ";"";"О. А. Юрьев. «Когда природе опостылим...» (2013-2014)";"О. А. Юрьев";"1959";"«Когда природе опостылим...»";"2013-2014";"художественная";"";"";"";"";"";"омонимия не снята";"Когда природе опостылим И станем пыль, и станем тлен, Взойдем, как Жилин и Костылин, К чечену ласковому в плен. Кавказ, России остров адский С чертями в пыльных газырях… ― Крест офицерский, крест солдатский И мизер в пятых козырях. "
" ызор еынечпоК";"ястямыд";"Копченые розы ";"дымятся";" ";"сквозь ливня сквозной изумруд; ужe им";"О. А. Юрьев. «Копченые розы дымятся...» | Бамбергская элегия (2013-2014)";"О. А. Юрьев";"1959";"«Копченые розы дымятся...» | Бамбергская элегия";"2013-2014";"художественная";"";"";"";"";"";"омонимия не снята";"Копченые розы дымятся сквозь ливня сквозной изумруд; ужe им не домыться, ужe им не домяться, они раньше ночи умрут, но пока облетают по низким аллеям в жующие щеки крольчат. сейчaс мы оголеем, сейчaс мы околеем, ― их безмолвные губы кричат; смеются над ними безмолвные боги, на полых дорожках дрожа, блестят их треуголки, трезубцы, треноги в полуполосках дождя, животы их и груди лоснятся сквозь небес полосной изумруд: пусть лестницы им снятся, уже им не подняться: они никогда не умрут. "
" йонзовкс янвил ьзовкс ястямыд ызор еынечпоК";"дурмузи";"Копченые розы дымятся сквозь ливня сквозной ";"изумруд";"; ";"ужe им не домыться, ужe им";"О. А. Юрьев. «Копченые розы дымятся...» | Бамбергская элегия (2013-2014)";"О. А. Юрьев";"1959";"«Копченые розы дымятся...» | Бамбергская элегия";"2013-2014";"художественная";"";"";"";"";"";"омонимия не снята";"Копченые розы дымятся сквозь ливня сквозной изумруд; ужe им не домыться, ужe им не домяться, они раньше ночи умрут, но пока облетают по низким аллеям в жующие щеки крольчат. сейчaс мы оголеем, сейчaс мы околеем, ― их безмолвные губы кричат; смеются над ними безмолвные боги, на полых дорожках дрожа, блестят их треуголки, трезубцы, треноги в полуполосках дождя, животы их и груди лоснятся сквозь небес полосной изумруд: пусть лестницы им снятся, уже им не подняться: они никогда не умрут. "
" ен ми eжу ,ясьтымод ен ми";"ясьтямод";"им не домыться, ужe им не ";"домяться";", ";"они раньше ночи умрут, но пока";"О. А. Юрьев. «Копченые розы дымятся...» | Бамбергская элегия (2013-2014)";"О. А. Юрьев";"1959";"«Копченые розы дымятся...» | Бамбергская элегия";"2013-2014";"художественная";"";"";"";"";"";"омонимия не снята";"Копченые розы дымятся сквозь ливня сквозной изумруд; ужe им не домыться, ужe им не домяться, они раньше ночи умрут, но пока облетают по низким аллеям в жующие щеки крольчат. сейчaс мы оголеем, сейчaс мы околеем, ― их безмолвные губы кричат; смеются над ними безмолвные боги, на полых дорожках дрожа, блестят их треуголки, трезубцы, треноги в полуполосках дождя, животы их и груди лоснятся сквозь небес полосной изумруд: пусть лестницы им снятся, уже им не подняться: они никогда не умрут. "
" ичон ешьнар ино ,ясьтямод ен ми";"турму";"им не домяться, они раньше ночи ";"умрут";", ";"но пока облетают по низким аллеям";"О. А. Юрьев. «Копченые розы дымятся...» | Бамбергская элегия (2013-2014)";"О. А. Юрьев";"1959";"«Копченые розы дымятся...» | Бамбергская элегия";"2013-2014";"художественная";"";"";"";"";"";"омонимия не снята";"Копченые розы дымятся сквозь ливня сквозной изумруд; ужe им не домыться, ужe им не домяться, они раньше ночи умрут, но пока облетают по низким аллеям в жующие щеки крольчат. сейчaс мы оголеем, сейчaс мы околеем, ― их безмолвные губы кричат; смеются над ними безмолвные боги, на полых дорожках дрожа, блестят их треуголки, трезубцы, треноги в полуполосках дождя, животы их и груди лоснятся сквозь небес полосной изумруд: пусть лестницы им снятся, уже им не подняться: они никогда не умрут. "
" микзин оп тюателбо акоп он ,турму";"мяелла";"умрут, но пока облетают по низким ";"аллеям";" ";"в жующие щеки крольчат. ";"О. А. Юрьев. «Копченые розы дымятся...» | Бамбергская элегия (2013-2014)";"О. А. Юрьев";"1959";"«Копченые розы дымятся...» | Бамбергская элегия";"2013-2014";"художественная";"";"";"";"";"";"омонимия не снята";"Копченые розы дымятся сквозь ливня сквозной изумруд; ужe им не домыться, ужe им не домяться, они раньше ночи умрут, но пока облетают по низким аллеям в жующие щеки крольчат. сейчaс мы оголеем, сейчaс мы околеем, ― их безмолвные губы кричат; смеются над ними безмолвные боги, на полых дорожках дрожа, блестят их треуголки, трезубцы, треноги в полуполосках дождя, животы их и груди лоснятся сквозь небес полосной изумруд: пусть лестницы им снятся, уже им не подняться: они никогда не умрут. "
" икещ еищюуж в мяелла микзин оп";"тачьлорк";"по низким аллеям в жующие щеки ";"крольчат";". ";"";"О. А. Юрьев. «Копченые розы дымятся...» | Бамбергская элегия (2013-2014)";"О. А. Юрьев";"1959";"«Копченые розы дымятся...» | Бамбергская элегия";"2013-2014";"художественная";"";"";"";"";"";"омонимия не снята";"Копченые розы дымятся сквозь ливня сквозной изумруд; ужe им не домыться, ужe им не домяться, они раньше ночи умрут, но пока облетают по низким аллеям в жующие щеки крольчат. сейчaс мы оголеем, сейчaс мы околеем, ― их безмолвные губы кричат; смеются над ними безмолвные боги, на полых дорожках дрожа, блестят их треуголки, трезубцы, треноги в полуполосках дождя, животы их и груди лоснятся сквозь небес полосной изумруд: пусть лестницы им снятся, уже им не подняться: они никогда не умрут. "
" ым сaчйес ,меелого ым сaчйес";"меелоко";"сейчaс мы оголеем, сейчaс мы ";"околеем";", ― ";"их безмолвные губы кричат; смеются над";"О. А. Юрьев. «Копченые розы дымятся...» | Бамбергская элегия (2013-2014)";"О. А. Юрьев";"1959";"«Копченые розы дымятся...» | Бамбергская элегия";"2013-2014";"художественная";"";"";"";"";"";"омонимия не снята";"Копченые розы дымятся сквозь ливня сквозной изумруд; ужe им не домыться, ужe им не домяться, они раньше ночи умрут, но пока облетают по низким аллеям в жующие щеки крольчат. сейчaс мы оголеем, сейчaс мы околеем, ― их безмолвные губы кричат; смеются над ними безмолвные боги, на полых дорожках дрожа, блестят их треуголки, трезубцы, треноги в полуполосках дождя, животы их и груди лоснятся сквозь небес полосной изумруд: пусть лестницы им снятся, уже им не подняться: они никогда не умрут. "
" ыбуг еынвломзеб хи ― ,меелоко ым сaчйес";"тачирк";"сейчaс мы околеем, ― их безмолвные губы ";"кричат";"; ";"смеются над ними безмолвные боги, на";"О. А. Юрьев. «Копченые розы дымятся...» | Бамбергская элегия (2013-2014)";"О. А. Юрьев";"1959";"«Копченые розы дымятся...» | Бамбергская элегия";"2013-2014";"художественная";"";"";"";"";"";"омонимия не снята";"Копченые розы дымятся сквозь ливня сквозной изумруд; ужe им не домыться, ужe им не домяться, они раньше ночи умрут, но пока облетают по низким аллеям в жующие щеки крольчат. сейчaс мы оголеем, сейчaс мы околеем, ― их безмолвные губы кричат; смеются над ними безмолвные боги, на полых дорожках дрожа, блестят их треуголки, трезубцы, треноги в полуполосках дождя, животы их и груди лоснятся сквозь небес полосной изумруд: пусть лестницы им снятся, уже им не подняться: они никогда не умрут. "
" еынвломзеб имин дан ястюемс ;тачирк ыбуг";"игоб";"губы кричат; смеются над ними безмолвные ";"боги";", ";"на полых дорожках дрожа, блестят их";"О. А. Юрьев. «Копченые розы дымятся...» | Бамбергская элегия (2013-2014)";"О. А. Юрьев";"1959";"«Копченые розы дымятся...» | Бамбергская элегия";"2013-2014";"художественная";"";"";"";"";"";"омонимия не снята";"Копченые розы дымятся сквозь ливня сквозной изумруд; ужe им не домыться, ужe им не домяться, они раньше ночи умрут, но пока облетают по низким аллеям в жующие щеки крольчат. сейчaс мы оголеем, сейчaс мы околеем, ― их безмолвные губы кричат; смеются над ними безмолвные боги, на полых дорожках дрожа, блестят их треуголки, трезубцы, треноги в полуполосках дождя, животы их и груди лоснятся сквозь небес полосной изумруд: пусть лестницы им снятся, уже им не подняться: они никогда не умрут. "
" хакжород хылоп ан ,игоб еынвломзеб имин";"ажорд";"ними безмолвные боги, на полых дорожках ";"дрожа";", ";"блестят их треуголки, трезубцы, треноги в";"О. А. Юрьев. «Копченые розы дымятся...» | Бамбергская элегия (2013-2014)";"О. А. Юрьев";"1959";"«Копченые розы дымятся...» | Бамбергская элегия";"2013-2014";"художественная";"";"";"";"";"";"омонимия не снята";"Копченые розы дымятся сквозь ливня сквозной изумруд; ужe им не домыться, ужe им не домяться, они раньше ночи умрут, но пока облетают по низким аллеям в жующие щеки крольчат. сейчaс мы оголеем, сейчaс мы околеем, ― их безмолвные губы кричат; смеются над ними безмолвные боги, на полых дорожках дрожа, блестят их треуголки, трезубцы, треноги в полуполосках дождя, животы их и груди лоснятся сквозь небес полосной изумруд: пусть лестницы им снятся, уже им не подняться: они никогда не умрут. "
" ,ыцбузерт ,иклогуерт хи тятселб ,ажорд хакжород";"игонерт";"дорожках дрожа, блестят их треуголки, трезубцы, ";"треноги";" ";"в полуполосках дождя, животы их и";"О. А. Юрьев. «Копченые розы дымятся...» | Бамбергская элегия (2013-2014)";"О. А. Юрьев";"1959";"«Копченые розы дымятся...» | Бамбергская элегия";"2013-2014";"художественная";"";"";"";"";"";"омонимия не снята";"Копченые розы дымятся сквозь ливня сквозной изумруд; ужe им не домыться, ужe им не домяться, они раньше ночи умрут, но пока облетают по низким аллеям в жующие щеки крольчат. сейчaс мы оголеем, сейчaс мы околеем, ― их безмолвные губы кричат; смеются над ними безмолвные боги, на полых дорожках дрожа, блестят их треуголки, трезубцы, треноги в полуполосках дождя, животы их и груди лоснятся сквозь небес полосной изумруд: пусть лестницы им снятся, уже им не подняться: они никогда не умрут. "
" хаксолопулоп в игонерт ,ыцбузерт ,иклогуерт хи";"яджод";"их треуголки, трезубцы, треноги в полуполосках ";"дождя";", ";"животы их и груди лоснятся сквозь";"О. А. Юрьев. «Копченые розы дымятся...» | Бамбергская элегия (2013-2014)";"О. А. Юрьев";"1959";"«Копченые розы дымятся...» | Бамбергская элегия";"2013-2014";"художественная";"";"";"";"";"";"омонимия не снята";"Копченые розы дымятся сквозь ливня сквозной изумруд; ужe им не домыться, ужe им не домяться, они раньше ночи умрут, но пока облетают по низким аллеям в жующие щеки крольчат. сейчaс мы оголеем, сейчaс мы околеем, ― их безмолвные губы кричат; смеются над ними безмолвные боги, на полых дорожках дрожа, блестят их треуголки, трезубцы, треноги в полуполосках дождя, животы их и груди лоснятся сквозь небес полосной изумруд: пусть лестницы им снятся, уже им не подняться: они никогда не умрут. "
" идург и хи ытовиж ,яджод хаксолопулоп";"ястянсол";"полуполосках дождя, животы их и груди ";"лоснятся";" ";"сквозь небес полосной изумруд: пусть лестницы";"О. А. Юрьев. «Копченые розы дымятся...» | Бамбергская элегия (2013-2014)";"О. А. Юрьев";"1959";"«Копченые розы дымятся...» | Бамбергская элегия";"2013-2014";"художественная";"";"";"";"";"";"омонимия не снята";"Копченые розы дымятся сквозь ливня сквозной изумруд; ужe им не домыться, ужe им не домяться, они раньше ночи умрут, но пока облетают по низким аллеям в жующие щеки крольчат. сейчaс мы оголеем, сейчaс мы околеем, ― их безмолвные губы кричат; смеются над ними безмолвные боги, на полых дорожках дрожа, блестят их треуголки, трезубцы, треноги в полуполосках дождя, животы их и груди лоснятся сквозь небес полосной изумруд: пусть лестницы им снятся, уже им не подняться: они никогда не умрут. "
" йонсолоп себен ьзовкс ястянсол идург и";"дурмузи";"и груди лоснятся сквозь небес полосной ";"изумруд";": ";"пусть лестницы им снятся, уже им";"О. А. Юрьев. «Копченые розы дымятся...» | Бамбергская элегия (2013-2014)";"О. А. Юрьев";"1959";"«Копченые розы дымятся...» | Бамбергская элегия";"2013-2014";"художественная";"";"";"";"";"";"омонимия не снята";"Копченые розы дымятся сквозь ливня сквозной изумруд; ужe им не домыться, ужe им не домяться, они раньше ночи умрут, но пока облетают по низким аллеям в жующие щеки крольчат. сейчaс мы оголеем, сейчaс мы околеем, ― их безмолвные губы кричат; смеются над ними безмолвные боги, на полых дорожках дрожа, блестят их треуголки, трезубцы, треноги в полуполосках дождя, животы их и груди лоснятся сквозь небес полосной изумруд: пусть лестницы им снятся, уже им не подняться: они никогда не умрут. "
" ен ми ежу ,ястянс ми ыцинтсел";"ясьтяндоп";"лестницы им снятся, уже им не ";"подняться";": ";"они никогда не умрут. ";"О. А. Юрьев. «Копченые розы дымятся...» | Бамбергская элегия (2013-2014)";"О. А. Юрьев";"1959";"«Копченые розы дымятся...» | Бамбергская элегия";"2013-2014";"художественная";"";"";"";"";"";"омонимия не снята";"Копченые розы дымятся сквозь ливня сквозной изумруд; ужe им не домыться, ужe им не домяться, они раньше ночи умрут, но пока облетают по низким аллеям в жующие щеки крольчат. сейчaс мы оголеем, сейчaс мы околеем, ― их безмолвные губы кричат; смеются над ними безмолвные боги, на полых дорожках дрожа, блестят их треуголки, трезубцы, треноги в полуполосках дождя, животы их и груди лоснятся сквозь небес полосной изумруд: пусть лестницы им снятся, уже им не подняться: они никогда не умрут. "
" ен адгокин ино :ясьтяндоп ен ми";"турму";"им не подняться: они никогда не ";"умрут";". ";"";"О. А. Юрьев. «Копченые розы дымятся...» | Бамбергская элегия (2013-2014)";"О. А. Юрьев";"1959";"«Копченые розы дымятся...» | Бамбергская элегия";"2013-2014";"художественная";"";"";"";"";"";"омонимия не снята";"Копченые розы дымятся сквозь ливня сквозной изумруд; ужe им не домыться, ужe им не домяться, они раньше ночи умрут, но пока облетают по низким аллеям в жующие щеки крольчат. сейчaс мы оголеем, сейчaс мы околеем, ― их безмолвные губы кричат; смеются над ними безмолвные боги, на полых дорожках дрожа, блестят их треуголки, трезубцы, треноги в полуполосках дождя, животы их и груди лоснятся сквозь небес полосной изумруд: пусть лестницы им снятся, уже им не подняться: они никогда не умрут. "
" дан ренгаВ йынсоК";"йоннееГ";"Косный Вагнер над ";"Геенной";" ";"В люльке огненной когтист: Дым слажёный";"О. А. Юрьев. «Косный Вагнер над Геенной...» | Вагнер в Иерусалиме (2013-2014)";"О. А. Юрьев";"1959";"«Косный Вагнер над Геенной...» | Вагнер в Иерусалиме";"2013-2014";"художественная";"";"";"";"";"";"омонимия не снята";"Косный Вагнер над Геенной В люльке огненной когтист: Дым слажёный, сор сожженный Ноздри жадные коптит, Гул разглаженный, шум разлаженный Трубной тишиною мгновенной В жёрло падает, как птиц. "
" йонненго екьлюл В йоннееГ дан ренгаВ";"тситгок";"Вагнер над Геенной В люльке огненной ";"когтист";": ";"Дым слажёный, сор сожженный Ноздри жадные";"О. А. Юрьев. «Косный Вагнер над Геенной...» | Вагнер в Иерусалиме (2013-2014)";"О. А. Юрьев";"1959";"«Косный Вагнер над Геенной...» | Вагнер в Иерусалиме";"2013-2014";"художественная";"";"";"";"";"";"омонимия не снята";"Косный Вагнер над Геенной В люльке огненной когтист: Дым слажёный, сор сожженный Ноздри жадные коптит, Гул разглаженный, шум разлаженный Трубной тишиною мгновенной В жёрло падает, как птиц. "
" рос ,йынёжалс мыД :тситгок йонненго екьлюл";"йыннежжос";"люльке огненной когтист: Дым слажёный, сор ";"сожженный";" ";"Ноздри жадные коптит, Гул разглаженный, шум";"О. А. Юрьев. «Косный Вагнер над Геенной...» | Вагнер в Иерусалиме (2013-2014)";"О. А. Юрьев";"1959";"«Косный Вагнер над Геенной...» | Вагнер в Иерусалиме";"2013-2014";"художественная";"";"";"";"";"";"омонимия не снята";"Косный Вагнер над Геенной В люльке огненной когтист: Дым слажёный, сор сожженный Ноздри жадные коптит, Гул разглаженный, шум разлаженный Трубной тишиною мгновенной В жёрло падает, как птиц. "
" еындаж ирдзоН йыннежжос рос ,йынёжалс мыД";"титпок";"Дым слажёный, сор сожженный Ноздри жадные ";"коптит";", ";"Гул разглаженный, шум разлаженный Трубной тишиною";"О. А. Юрьев. «Косный Вагнер над Геенной...» | Вагнер в Иерусалиме (2013-2014)";"О. А. Юрьев";"1959";"«Косный Вагнер над Геенной...» | Вагнер в Иерусалиме";"2013-2014";"художественная";"";"";"";"";"";"омонимия не снята";"Косный Вагнер над Геенной В люльке огненной когтист: Дым слажёный, сор сожженный Ноздри жадные коптит, Гул разглаженный, шум разлаженный Трубной тишиною мгновенной В жёрло падает, как птиц. "
" муш ,йыннежалгзар луГ ,титпок еындаж ирдзоН";"йыннежалзар";"Ноздри жадные коптит, Гул разглаженный, шум ";"разлаженный";" ";"Трубной тишиною мгновенной В жёрло падает";"О. А. Юрьев. «Косный Вагнер над Геенной...» | Вагнер в Иерусалиме (2013-2014)";"О. А. Юрьев";"1959";"«Косный Вагнер над Геенной...» | Вагнер в Иерусалиме";"2013-2014";"художественная";"";"";"";"";"";"омонимия не снята";"Косный Вагнер над Геенной В люльке огненной когтист: Дым слажёный, сор сожженный Ноздри жадные коптит, Гул разглаженный, шум разлаженный Трубной тишиною мгновенной В жёрло падает, как птиц. "
" юонишит йонбурТ йыннежалзар муш ,йыннежалгзар луГ";"йонневонгм";"Гул разглаженный, шум разлаженный Трубной тишиною ";"мгновенной";" ";"В жёрло падает, как птиц. ";"О. А. Юрьев. «Косный Вагнер над Геенной...» | Вагнер в Иерусалиме (2013-2014)";"О. А. Юрьев";"1959";"«Косный Вагнер над Геенной...» | Вагнер в Иерусалиме";"2013-2014";"художественная";"";"";"";"";"";"омонимия не снята";"Косный Вагнер над Геенной В люльке огненной когтист: Дым слажёный, сор сожженный Ноздри жадные коптит, Гул разглаженный, шум разлаженный Трубной тишиною мгновенной В жёрло падает, как птиц. "
" как ,теадап олрёж В йонневонгм юонишит";"цитп";"тишиною мгновенной В жёрло падает, как ";"птиц";". ";"";"О. А. Юрьев. «Косный Вагнер над Геенной...» | Вагнер в Иерусалиме (2013-2014)";"О. А. Юрьев";"1959";"«Косный Вагнер над Геенной...» | Вагнер в Иерусалиме";"2013-2014";"художественная";"";"";"";"";"";"омонимия не снята";"Косный Вагнер над Геенной В люльке огненной когтист: Дым слажёный, сор сожженный Ноздри жадные коптит, Гул разглаженный, шум разлаженный Трубной тишиною мгновенной В жёрло падает, как птиц. "
" иматоров даН";"имыводиваД";"Над воротами ";"Давидовыми";" ";"Тихий Вагнер пролетал, Над воротами над";"О. А. Юрьев. «Косный Вагнер над Геенной...» | Вагнер в Иерусалиме (2013-2014)";"О. А. Юрьев";"1959";"«Косный Вагнер над Геенной...» | Вагнер в Иерусалиме";"2013-2014";"художественная";"";"";"";"";"";"омонимия не снята";"Над воротами Давидовыми Тихий Вагнер пролетал, Над воротами над Иродовыми С диким Гоголем гоготал, В жолтых сумерках над Яффскими Клейкой тенью клокотал И над Новыми, халявскими, С серым кайзером витал. "
" ренгаВ йихиТ имыводиваД иматоров даН";"лателорп";"Над воротами Давидовыми Тихий Вагнер ";"пролетал";", ";"Над воротами над Иродовыми С диким";"О. А. Юрьев. «Косный Вагнер над Геенной...» | Вагнер в Иерусалиме (2013-2014)";"О. А. Юрьев";"1959";"«Косный Вагнер над Геенной...» | Вагнер в Иерусалиме";"2013-2014";"художественная";"";"";"";"";"";"омонимия не снята";"Над воротами Давидовыми Тихий Вагнер пролетал, Над воротами над Иродовыми С диким Гоголем гоготал, В жолтых сумерках над Яффскими Клейкой тенью клокотал И над Новыми, халявскими, С серым кайзером витал. "
" дан иматоров даН ,лателорп ренгаВ йихиТ";"имыводорИ";"Тихий Вагнер пролетал, Над воротами над ";"Иродовыми";" ";"С диким Гоголем гоготал, В жолтых";"О. А. Юрьев. «Косный Вагнер над Геенной...» | Вагнер в Иерусалиме (2013-2014)";"О. А. Юрьев";"1959";"«Косный Вагнер над Геенной...» | Вагнер в Иерусалиме";"2013-2014";"художественная";"";"";"";"";"";"омонимия не снята";"Над воротами Давидовыми Тихий Вагнер пролетал, Над воротами над Иродовыми С диким Гоголем гоготал, В жолтых сумерках над Яффскими Клейкой тенью клокотал И над Новыми, халявскими, С серым кайзером витал. "
" мелогоГ микид С имыводорИ дан иматоров";"латогог";"воротами над Иродовыми С диким Гоголем ";"гоготал";", ";"В жолтых сумерках над Яффскими Клейкой";"О. А. Юрьев. «Косный Вагнер над Геенной...» | Вагнер в Иерусалиме (2013-2014)";"О. А. Юрьев";"1959";"«Косный Вагнер над Геенной...» | Вагнер в Иерусалиме";"2013-2014";"художественная";"";"";"";"";"";"омонимия не снята";"Над воротами Давидовыми Тихий Вагнер пролетал, Над воротами над Иродовыми С диким Гоголем гоготал, В жолтых сумерках над Яффскими Клейкой тенью клокотал И над Новыми, халявскими, С серым кайзером витал. "
" дан хакремус хытлож В ,латогог мелогоГ";"имиксффЯ";"Гоголем гоготал, В жолтых сумерках над ";"Яффскими";" ";"Клейкой тенью клокотал И над Новыми";"О. А. Юрьев. «Косный Вагнер над Геенной...» | Вагнер в Иерусалиме (2013-2014)";"О. А. Юрьев";"1959";"«Косный Вагнер над Геенной...» | Вагнер в Иерусалиме";"2013-2014";"художественная";"";"";"";"";"";"омонимия не снята";"Над воротами Давидовыми Тихий Вагнер пролетал, Над воротами над Иродовыми С диким Гоголем гоготал, В жолтых сумерках над Яффскими Клейкой тенью клокотал И над Новыми, халявскими, С серым кайзером витал. "
" юьнет йокйелК имиксффЯ дан хакремус хытлож";"латоколк";"жолтых сумерках над Яффскими Клейкой тенью ";"клокотал";" ";"И над Новыми, халявскими, С серым";"О. А. Юрьев. «Косный Вагнер над Геенной...» | Вагнер в Иерусалиме (2013-2014)";"О. А. Юрьев";"1959";"«Косный Вагнер над Геенной...» | Вагнер в Иерусалиме";"2013-2014";"художественная";"";"";"";"";"";"омонимия не снята";"Над воротами Давидовыми Тихий Вагнер пролетал, Над воротами над Иродовыми С диким Гоголем гоготал, В жолтых сумерках над Яффскими Клейкой тенью клокотал И над Новыми, халявскими, С серым кайзером витал. "
" ,имывоН дан И латоколк юьнет йокйелК";"имиксвялах";"Клейкой тенью клокотал И над Новыми, ";"халявскими";", ";"С серым кайзером витал. ";"О. А. Юрьев. «Косный Вагнер над Геенной...» | Вагнер в Иерусалиме (2013-2014)";"О. А. Юрьев";"1959";"«Косный Вагнер над Геенной...» | Вагнер в Иерусалиме";"2013-2014";"художественная";"";"";"";"";"";"омонимия не снята";"Над воротами Давидовыми Тихий Вагнер пролетал, Над воротами над Иродовыми С диким Гоголем гоготал, В жолтых сумерках над Яффскими Клейкой тенью клокотал И над Новыми, халявскими, С серым кайзером витал. "
